TID;CIVILSTAND;OMRÅDE;INDHOLD
2020K1 2020K1;U Ugift;000 Hele landet;2844060
2020K1 2020K1;U Ugift;084 Region Hovedstaden;973802
2020K1 2020K1;U Ugift;101 København;412512
2020K1 2020K1;U Ugift;147 Frederiksberg;60781
2020K1 2020K1;U Ugift;155 Dragør;5844
2020K1 2020K1;U Ugift;185 Tårnby;19947
2020K1 2020K1;U Ugift;165 Albertslund;13795
2020K1 2020K1;U Ugift;151 Ballerup;22371
2020K1 2020K1;U Ugift;153 Brøndby;16245
2020K1 2020K1;U Ugift;157 Gentofte;35130
2020K1 2020K1;U Ugift;159 Gladsaxe;34731
2020K1 2020K1;U Ugift;161 Glostrup;11193
2020K1 2020K1;U Ugift;163 Herlev;13767
2020K1 2020K1;U Ugift;167 Hvidovre;26533
2020K1 2020K1;U Ugift;169 Høje-Taastrup;23532
2020K1 2020K1;U Ugift;183 Ishøj;10808
2020K1 2020K1;U Ugift;173 Lyngby-Taarbæk;27810
2020K1 2020K1;U Ugift;175 Rødovre;20055
2020K1 2020K1;U Ugift;187 Vallensbæk;7354
2020K1 2020K1;U Ugift;201 Allerød;10586
2020K1 2020K1;U Ugift;240 Egedal;18274
2020K1 2020K1;U Ugift;210 Fredensborg;17135
2020K1 2020K1;U Ugift;250 Frederikssund;18530
2020K1 2020K1;U Ugift;190 Furesø;17443
2020K1 2020K1;U Ugift;270 Gribskov;15993
2020K1 2020K1;U Ugift;260 Halsnæs;12656
2020K1 2020K1;U Ugift;217 Helsingør;27077
2020K1 2020K1;U Ugift;219 Hillerød;23306
2020K1 2020K1;U Ugift;223 Hørsholm;9677
2020K1 2020K1;U Ugift;230 Rudersdal;24690
2020K1 2020K1;U Ugift;400 Bornholm;15996
2020K1 2020K1;U Ugift;411 Christiansø;31
2020K1 2020K1;U Ugift;085 Region Sjælland;368715
2020K1 2020K1;U Ugift;253 Greve;21016
2020K1 2020K1;U Ugift;259 Køge;27189
2020K1 2020K1;U Ugift;350 Lejre;11553
2020K1 2020K1;U Ugift;265 Roskilde;41111
2020K1 2020K1;U Ugift;269 Solrød;9955
2020K1 2020K1;U Ugift;320 Faxe;15575
2020K1 2020K1;U Ugift;376 Guldborgsund;25908
2020K1 2020K1;U Ugift;316 Holbæk;32235
2020K1 2020K1;U Ugift;326 Kalundborg;21163
2020K1 2020K1;U Ugift;360 Lolland;17132
2020K1 2020K1;U Ugift;370 Næstved;38119
2020K1 2020K1;U Ugift;306 Odsherred;13011
2020K1 2020K1;U Ugift;329 Ringsted;16052
2020K1 2020K1;U Ugift;330 Slagelse;37269
2020K1 2020K1;U Ugift;340 Sorø;13232
2020K1 2020K1;U Ugift;336 Stevns;9085
2020K1 2020K1;U Ugift;390 Vordingborg;19110
2020K1 2020K1;U Ugift;083 Region Syddanmark;568126
2020K1 2020K1;U Ugift;420 Assens;17711
2020K1 2020K1;U Ugift;430 Faaborg-Midtfyn;22004
2020K1 2020K1;U Ugift;440 Kerteminde;9789
2020K1 2020K1;U Ugift;482 Langeland;4583
2020K1 2020K1;U Ugift;410 Middelfart;16533
2020K1 2020K1;U Ugift;480 Nordfyns;12701
2020K1 2020K1;U Ugift;450 Nyborg;13803
2020K1 2020K1;U Ugift;461 Odense;112490
2020K1 2020K1;U Ugift;479 Svendborg;26178
2020K1 2020K1;U Ugift;492 Ærø;2174
2020K1 2020K1;U Ugift;530 Billund;11719
2020K1 2020K1;U Ugift;561 Esbjerg;55014
2020K1 2020K1;U Ugift;563 Fanø;1258
2020K1 2020K1;U Ugift;607 Fredericia;23719
2020K1 2020K1;U Ugift;510 Haderslev;24806
2020K1 2020K1;U Ugift;621 Kolding;44898
2020K1 2020K1;U Ugift;540 Sønderborg;32107
2020K1 2020K1;U Ugift;550 Tønder;15874
2020K1 2020K1;U Ugift;573 Varde;21766
2020K1 2020K1;U Ugift;575 Vejen;19285
2020K1 2020K1;U Ugift;630 Vejle;54448
2020K1 2020K1;U Ugift;580 Aabenraa;25266
2020K1 2020K1;U Ugift;082 Region Midtjylland;653428
2020K1 2020K1;U Ugift;710 Favrskov;21794
2020K1 2020K1;U Ugift;766 Hedensted;20301
2020K1 2020K1;U Ugift;615 Horsens;44353
2020K1 2020K1;U Ugift;707 Norddjurs;16360
2020K1 2020K1;U Ugift;727 Odder;9599
2020K1 2020K1;U Ugift;730 Randers;46936
2020K1 2020K1;U Ugift;741 Samsø;1281
2020K1 2020K1;U Ugift;740 Silkeborg;43672
2020K1 2020K1;U Ugift;746 Skanderborg;28692
2020K1 2020K1;U Ugift;706 Syddjurs;17996
2020K1 2020K1;U Ugift;751 Aarhus;208509
2020K1 2020K1;U Ugift;657 Herning;41719
2020K1 2020K1;U Ugift;661 Holstebro;27357
2020K1 2020K1;U Ugift;756 Ikast-Brande;18551
2020K1 2020K1;U Ugift;665 Lemvig;7900
2020K1 2020K1;U Ugift;760 Ringkøbing-Skjern;24254
2020K1 2020K1;U Ugift;779 Skive;20222
2020K1 2020K1;U Ugift;671 Struer;8562
2020K1 2020K1;U Ugift;791 Viborg;45370
2020K1 2020K1;U Ugift;081 Region Nordjylland;279989
2020K1 2020K1;U Ugift;810 Brønderslev;16246
2020K1 2020K1;U Ugift;813 Frederikshavn;24767
2020K1 2020K1;U Ugift;860 Hjørring;28574
2020K1 2020K1;U Ugift;849 Jammerbugt;16286
2020K1 2020K1;U Ugift;825 Læsø;593
2020K1 2020K1;U Ugift;846 Mariagerfjord;18168
2020K1 2020K1;U Ugift;773 Morsø;8740
2020K1 2020K1;U Ugift;840 Rebild;13553
2020K1 2020K1;U Ugift;787 Thisted;18696
2020K1 2020K1;U Ugift;820 Vesthimmerlands;16172
2020K1 2020K1;U Ugift;851 Aalborg;118194
2020K2 2020K2;U Ugift;000 Hele landet;2851131
2020K2 2020K2;U Ugift;084 Region Hovedstaden;976457
2020K2 2020K2;U Ugift;101 København;414072
2020K2 2020K2;U Ugift;147 Frederiksberg;60894
2020K2 2020K2;U Ugift;155 Dragør;5856
2020K2 2020K2;U Ugift;185 Tårnby;19913
2020K2 2020K2;U Ugift;165 Albertslund;13761
2020K2 2020K2;U Ugift;151 Ballerup;22561
2020K2 2020K2;U Ugift;153 Brøndby;16277
2020K2 2020K2;U Ugift;157 Gentofte;35183
2020K2 2020K2;U Ugift;159 Gladsaxe;34697
2020K2 2020K2;U Ugift;161 Glostrup;11365
2020K2 2020K2;U Ugift;163 Herlev;13786
2020K2 2020K2;U Ugift;167 Hvidovre;26537
2020K2 2020K2;U Ugift;169 Høje-Taastrup;23641
2020K2 2020K2;U Ugift;183 Ishøj;10785
2020K2 2020K2;U Ugift;173 Lyngby-Taarbæk;27922
2020K2 2020K2;U Ugift;175 Rødovre;20083
2020K2 2020K2;U Ugift;187 Vallensbæk;7331
2020K2 2020K2;U Ugift;201 Allerød;10615
2020K2 2020K2;U Ugift;240 Egedal;18342
2020K2 2020K2;U Ugift;210 Fredensborg;17161
2020K2 2020K2;U Ugift;250 Frederikssund;18589
2020K2 2020K2;U Ugift;190 Furesø;17448
2020K2 2020K2;U Ugift;270 Gribskov;15998
2020K2 2020K2;U Ugift;260 Halsnæs;12747
2020K2 2020K2;U Ugift;217 Helsingør;27202
2020K2 2020K2;U Ugift;219 Hillerød;23323
2020K2 2020K2;U Ugift;223 Hørsholm;9675
2020K2 2020K2;U Ugift;230 Rudersdal;24669
